key,en,cn,pt,es,de,ja
btn_reveive,Receive,获取,Receber,Obtener,Erhalten,受け取る
btn_double,Double,双倍,Duplo,Doble,Doppelt,ダブル
btn_loading,Loading,加载中,Carregando,Cargando,Wird geladen,読み込み中
btn_next,Next,下一关,Próximo,El próximo,Nächster,次
btn_ok,OK,确定,Está bem,OK,in Ordnung,OK
btn_store,Store,商店,Loja,Tienda,Geschäft,お店
btn_get,Get,确定,Obter,Obtener,Bekommen,取得する
btn_start,Start,开始,Começar,comienza,Start,開始
btn_jump,Jump,跳,Saltar,Saltar,Springen,ジャンプ
btn_shot,Shot,射击,Atirar,Dispara,Schuss,ショット
btn_direction,Direction,方向,Direção,Dirección,Richtung,方向
main_+tips,##+Tips,##+提示,##+Dicas,##+Consejos,##+Tipps,##+ヒント
main_tips,Tips,提示,Dicas,Consejos,Tipps,チップ
main_watch,Watch video for tips.,看广告获取提示,Assista ao vídeo para obter dicas.,Vea el video para obtener consejos.,"Sehen Sie sich das Video an, um Tipps zu erhalten.",ヒントについてはビデオをご覧ください。
main_lv,LV,关卡,LV,LV,LV,LV
main_enter,Enter,输入,Entrar,Apuntar,Eingeben,入る
dlg_menu_store,Store,商店,Loja,Tienda,Geschäft,お店
dlg_menu_daily,Daily bonus,每日奖励,Bônus diário,Recompensa diaria,Täglicher Bonus,毎日のご褒美
dlg_menu_rate,Rate,评分,Taxa,puntuación,Bewertung,割合
dlg_menu_feedback,Feedback,反馈,Comentários,comentarios,Feedback,フィードバック
dlg_store_title,STORE,商店,LOJA,TIENDA,GESCHÄFT,お店
dlg_store_free,Free,免费,Livre,Gratis,Kostenlos,自由
dlg_store_remove,Remove Ads,移除广告,Remover anúncio,Quitar el anuncio,Entferne Werbung,広告を削除
dlg_store_onsale,On Sale,折扣,À venda,Descuento,Im Angebot,発売中
dlg_store_restore,Restore,恢复,Restaurar,Restaurar,Wiederherstellen,戻す
dlg_feed_title,FEEDBACK,反馈,COMENTÁRIOS,comentarios,FEEDBACK,フィードバック
dlg_rate_title,RATE,评分,TAXA,puntuación,BEWERTUNG,割合
dlg_rate_info,Thanks for your support! Would you like to rate us?,谢谢支持！,Obrigado por seu apoio! Gostaria de nos avaliar?,¡Gracias por su apoyo! ¿Quieres calificarnos? ,Danke für deine Unterstützung! Möchten Sie uns bewerten?,ご協力ありがとうございました！ 評価していただけますか？
dlg_back_title,Welcome back,欢迎回来,Bem vindo de volta,Bienvenido de nuevo,Willkommen zurück,お帰りなさい
dlg_back_day,Day,天,Dia,Día,Tag,日
dlg_levelpass_title,Congratulations!,恭喜,Parabéns!,Felicidades!,Herzliche Glückwünsche!,おめでとう！
dlg_levelpass_info,You are really too good!,你真是太厉害!,Você é realmente muito bom!,Eres tan inteligente,Du bist wirklich zu gut!,あなたは本当に上手すぎる！
dlg_alllevelpass_title,Nice!,厉害,Agradável!,Genial,Nett!,いいね！
dlg_alllevelpass_info,"No more, thanks for you.",你已完成所有关卡，谢谢体验,"Não mais, obrigado por você.","¡Felicidades, has pasado todos los juegos!","Nicht mehr, danke für dich.",これ以上、ありがとう。
dlg_gettips_title,GET TIPS!,获取提示,OBTENHA DICAS!,OBTENER CONSEJOS,TIPPS ERHALTEN!,ヒントを入手！
dlg_skip_title,Skip,跳过关卡,Skip,Saltar,Überspringen,スキップ
dlg_skip_info,"Need to consume 2 tips, Whether to continue?",需要消耗2个提示，是否继续?,"Need to consume 2 tips, Whether to continue?","Necesita consumir 2 consejos, ¿Si desea continuar?","Müssen Sie 2 Tipps verbrauchen, ob Sie fortfahren?",続行するかどうか、2つのヒントを消費する必要がありますか？
dlg_christfinish_get,GET GIFT!,获取礼品,OBTER PRESENTE!,¡OBTENER REGALO!,Geschenk bekommen!,ギフトをゲット！
dlg_christfinish_info_1,Give you 5 tips and wish you a Merry,赠送你5个提示，祝你圣诞快乐,Dê 5 dicas e desejo a você um Feliz,Te doy 5 consejos y te deseo una feliz Navidad,Gib dir 5 Tipps und wünsche dir ein Frohes,あなたに5つのヒントを与え、あなたにメリーを願っています
dlg_christfinish_info_2,May all your wishes come true!,愿你美梦成真!,Que todos os seus desejos se tornem realidade!,¡Que tus sueños se hagan realidad!,Mögen alle Ihre Wünsche wahr werden!,あなたの願いがすべて叶うように！
dlg_christlevel_title,PLAY WITH SANTA,圣诞快乐,JOGUE COM SANTA,¡Feliz navidad!,SPIEL MIT SANKT,サンタと遊ぶ
dlg_gameround_title,Game round,选择关卡,Rodada de jogo,Seleccionar nivel,Spielrunde,ゲームラウンド
dlg_limited_get_now,Get Now,,Obter agora,Obtener ahora,Holen Sie sich jetzt,今すぐ入手
level_color_orange,Orange,橙,laranja,Naranja,Orange,オレンジ
level_color_purple,Purple,紫,Roxa,Violeta,Lila,紫の
level_color_yellow,Yellow,黄,Amarelo,Amarillo,Gelb,黄
level_color_blue,Blue,蓝,Azul,Azul,Blau,青い
level_color_green,Green,绿,Verde,Verde,Grün,緑
level_color_black,Black,黑,Preto,Negro,Schwarz,ブラック
level_color_white,White,白,Branco,Blanco,Weiß,白い
level_color_red,Red,红,Vermelho,Rojo,rot,赤
level_001_nofruit,NOT FRUIT,不是水果,NÃO FRUTA,NO ES FRUTA,NICHT OBST,果物ではない
level_009_point,Point,分,Ponto,Puntos,Punkt,ポイント
level_013_zoe,Zoe,佐伊,Zoe,Zoe,Zoe,ゾーイ
level_013_you,You,你,Vocês,Tú,Du,君は
level_029_right,Right,右,Certo,Derecho,Richtig,正しい
level_029_left,Left,左,Esquerda,Izquierda,Links,左
level_029_down,Down,下,Baixa,Abajo,Nieder,ダウン
level_029_allwrong,All wrong,全错,Tudo errado,Todo es incorrecto,Alles falsch,すべて間違っている
level_044_seenothing,I can see nothing.,我看不见了,Não vejo nada.,No puedo ver nada.,Ich kann nichts sehen,何も見えません。
level_051_jump,Jump,跳,Saltar,Saltar,Springen,ジャンプ
level_052_stop,STOP,停止,PARE,DETENER,HALT,やめる
level_056_comein,Come in,请进,Entre,Adelante,Komm herein,お入りください
level_060_tap,TAP,敲,TOQUE,Toca,ZAPFHAHN,TAP
level_088_tom,Tom,汤姆,Tom,Tom,Tom,トム
level_088_jack,Jack,杰克,Jack,Jack,Jack,ジャック
level_088_yard,Yard,亚德,Yard,Yard,Hof,ヤード
level_088_common,Common to all,所有人,Comum a todos,Todos,Allen gemeinsam,すべてに共通
level_088_earth,Earth,地球,Terra,Tierra,Erde,地球
level_088_my,My,我的,Minhas,Mi,Meine,俺の
level_092_same,Same,一样,Mesmo,Mismo,Gleich,同じ
level_092_none,None,没有,Nenhum,Ninguna,Keiner,なし
level_118_trump,Trump,特朗普,Trump,Trump,Trumpf,トランプ
level_118_obama,Obama,奥巴马,Obama,Obama,Obama,オバマ
level_118_walter,Walter White,沃尔特,Walter White,Walter White,Walter White,ウォルター・ホワイト
level_118_rick,Rick,瑞克,Rick,Rick,Rick,リック
level_118_me,Me!,我！,Eu!,¡Yo!,Mir!,私！
level_118_you,You?,你？,Vocês?,¿Tú?,Du?,君は？
level_121_travel,Travel over the world,周游世界,Viaje pelo mundo,Viajar por el mundo,Reise um die Welt,世界を旅する
level_121_slim,Slim and wealthy,苗条和富有,Magro e rico,Delgado y rico,Schlank und reich,スリムで裕福な
level_121_get,Get prettier,变得更漂亮,Ficar mais bonita,Te vuelves más bella,Schöner werden,よりきれいに
level_126_yo,Yo,Yo,Yo,Hi,Yo,よ
level_126_hi,"Hi, man","嗨,你好",Oi cara,Hola,Hallo mann,おっす
level_126_long,"Long time no see, how do you do",好久不见，你好吗,"Muito tempo sem ver, como você faz","Cuánto tiempo sin verte, ¿cómo estás?","Lange nicht gesehen, wie geht es dir?",久しぶりです、どうしますか
level_126_meow,Meow,喵,Miau,Miau,Miau,ニャー
level_126_grettings,Greetings,你好,saudações,Saludos,Schöne Grüße,あいさつ
level_126_fuck,Fuck off,滚蛋,Foda-se,Fuera,Verpiss dich,ファックオフ
level_136_identical,Identical,相同的,Idêntico,Mismo,Identisch,同一
level_136_my,My,我的,Minhas,Mi,Meine,俺の
level_138_reset,Reset,重置,Redefinir,Reiniciar,Zurücksetzen,リセットする
level_138_commit,Commit,提交,Confirmar,Entregar,Verpflichten,コミット
level_144_pick,No pick up,不捡,Não pegar,no recoger,Nicht aufheben,ピックアップなし
level_106_balance,Balance,收支,Saldo,Saldo,Balance,残高
level_123_menu,menu,菜单,cardápio,menú,Speisekarte,メニュー
level_194_3rd,"No, I'm 3rd!",不，我才是第3名,"Não, eu sou o terceiro","No, soy el tercero","Nein, ich bin 3.!",いいえ、私は3番目です！
level_121_password,password,答案,senha,contraseña,Passwort,パスワード
level_231_text,Freedom,自由,Liberdade,Libertad,Freiheit,自由
level_235_go,"Leave, change bank.",走了，换家银行。,"Saia, troque de banco.","Vete, cambia de banco.","Gehen Sie, wechseln Sie die Bank.",退出、銀行を変更します。
level_247_drink_water,Drink water,喝水,Beber água,Beber agua,Wasser trinken,水を飲む
level_260_noshaking,No Shaking,不要摇,No Shaking,Sin sacudidas,Kein Schütteln,揺れない
level_254_info1,What's wrong?,什么错误？,O que há de errado?,Que pasa,Was ist los?,どうしましたか？
level_254_info2,Where is question?,问题在哪？,Onde está a pergunta?,¿Dónde está la pregunta?,Wo ist die Frage?,質問はどこですか？
level_254_info3,What you want me to do?,你想让我干哈？,O que você quer que eu faça?,¿Qué quieres que haga?,"Was willst du, das ich mache?",あなたが私にしてほしいこと？
level_254_info4,The title is wrong.,标题错误。,O título está errado.,El titulo esta mal.,Der Titel ist falsch.,タイトルが間違っています。
level_256_forbid,No entry,禁止通行,Entrada proibida,No hay entrada,Kein Einlass,立入り禁止
level_066_who,Who,谁,Quem,Quién,Wer,誰
,,,,,,
dlg_colloect_limited_gift,collect limited gifts,限量版礼物,Colete presentes limitados,Recoge regalos limitados,Sammle limitierte Geschenke,限定ギフトを集める
dlg_subscribe_now,subscribe now,现在订阅,Inscreva-se agora,Suscríbase ahora,Abonniere jetzt,今購読する
dlg_subscribe_desc,Try 3 days for free .then $4.99/week,免费试用3天，之后$4.99一周,"Experimente 3 dias de graça. Depois US $ 4,99 / semana",Pruebe 3 días gratis .entonces $ 4.99 / semana,"Versuchen Sie 3 Tage kostenlos. Dann 4,99 $ / Woche",3日間無料でお試しいただけます。その後、$ 4.99 /週
dlg_subscribe_tip_desc,20 hints everyday.,每天送二十个灯泡,20 dicas todos os dias.,20 pistas todos los días.,20 Tipps jeden Tag.,毎日20のヒント。
dlg_store_permanently_removead,Permanently remove ads,永久去除广告,Remover anúncios permanentemente,Eliminar permanentemente los anuncios,Anzeigen dauerhaft entfernen,広告を完全に削除する
,,,,,,
level_306_ismy,Is my!,这是我的！,,,,
level_312_doyou,Do you want it?,你想要吗?,,,,
level_312_ismy,But it's my!,但这是我的！,,,,
level_312_kid,I'm kidding!,开玩笑啦！,,,,
